#separator:Comma
#html:true
"¿Qué aspecto del movimiento de los fluidos estudia la cinemática de fluidos?","La descripción del movimiento sin considerar las fuerzas o momentos que lo producen."
"En ingeniería mecánica, ¿cuál es la función estratégica del estudio de la cinemática de fluidos?","Traducir leyes físicas de sistemas de masa fija al lenguaje de volúmenes de control espaciales."
"¿Qué herramienta matemática actúa como operador de transformación entre las descripciones Lagrangiana y Euleriana?","La derivada material."
"¿Qué concepto cinemático permite identificar regiones de flujo rotacional frente a irrotacional?","La vorticidad."
"¿Cuál es el propósito fundamental del Teorema de Transporte de Reynolds (RTT)?","Servir como herramienta de contabilidad integral para la conservación de masa, energía y cantidad de movimiento."
"¿Qué enfoque de análisis sigue la trayectoria de parcelas individuales de fluido con identidad fija?","La descripción Lagrangiana."
"¿Cómo define las variables de campo la descripción Euleriana del movimiento?","Como funciones de la posición espacial y del tiempo."
"¿A qué concepto termodinámico equivale la descripción Lagrangiana?","A un sistema cerrado de masa de identidad fija."
"¿A qué concepto termodinámico equivale la descripción Euleriana?","A un volumen de control o región espacial."
"¿Cuál es el operador matemático asociado a la descripción Lagrangiana?","La derivada total (\(\frac{d}{dt}\))."
"¿Cuál es el operador matemático asociado a la descripción Euleriana?","La derivada material (\(\frac{D}{Dt}\))."
"¿Por qué la descripción Euleriana es preferida en el diseño de turbomaquinaria y aerodinámica?","Porque es ideal para instrumentación fija y dinámica de fluidos computacional (CFD)."
"¿En qué aplicaciones prácticas se suele utilizar la descripción Lagrangiana?","En el rastreo de contaminantes, flujos rarificados y velocimetría de imágenes de partículas (PIV)."
"En el formalismo Euleriano, ¿cómo se expande el vector velocidad \(\vec{V}\) en componentes cartesianas?","\[\vec{V}(x, y, z, t) = u\vec{i} + v\vec{j} + w\vec{k}\]"
"¿Qué representa físicamente la derivada material (\(\frac{D}{Dt}\))?","La tasa de cambio de una propiedad siguiendo el movimiento de una partícula fluida."
"En la ecuación \(\vec{a} = \frac{\partial\vec{V}}{\partial t} + (\vec{V} \cdot \nabla)\vec{V}\), ¿qué representa el término \(\frac{\partial\vec{V}}{\partial t}\)?","La aceleración local, que refleja la falta de estacionariedad del flujo."
"¿Qué término de la aceleración explica el cambio de velocidad debido al desplazamiento de la partícula hacia regiones con distintos valores de campo?","La aceleración convectiva (\(\vec{V} \cdot \nabla)\vec{V}\)."
"¿Bajo qué condición el término de aceleración local se anula completamente?","En flujos estacionarios."
"¿Cómo es posible que exista aceleración en un flujo estacionario a través de una boquilla?","Debido a la aceleración convectiva generada por el cambio de sección transversal del conducto."
"Definición: Líneas de corriente (Streamlines)","Curvas que en un instante dado son tangentes al vector velocidad \(\vec{V}\) en cada punto."
"¿Qué patrón de flujo representa la trayectoria histórica real de una partícula individual?","Las sendas (Pathlines)."
"¿Qué es una línea de traza (Streakline)?","El lugar geométrico de todas las partículas que han pasado previamente por un punto de inyección fijo."
"¿Cómo se define una línea de tiempo (Timeline) en la visualización de fluidos?","Un conjunto de partículas adyacentes marcadas en un tiempo inicial cuya deformación posterior revela el perfil de velocidad."
"¿En qué fenómeno físico se basan los métodos ópticos Shadowgraph y Schlieren?","En la refracción de la luz causada por variaciones en la densidad (\(\rho\)) del fluido."
"¿Cuál es la principal utilidad de la técnica Shadowgraph en flujos supersónicos?","Interpretar la posición y forma de las ondas de choque."
"¿Qué componente técnico utiliza el método Schlieren para lograr mayor sensibilidad a gradientes de densidad sutiles?","Un cuchillo de corte (knife edge) que bloquea parte de la luz refractada."
"¿En qué cuatro tipos se descompone el movimiento de un elemento fluido?","Traslación, rotación, deformación lineal y deformación por cortante."
"¿Qué describe matemáticamente la tasa de dilatación volumétrica de un fluido?","La divergencia del campo de velocidades (\(\nabla \cdot \vec{V}\))."
"¿Qué valor debe tener la tasa de dilatación volumétrica en un flujo incompresible?","Debe ser idénticamente cero."
"¿Qué componentes del tensor de tasa de deformación son críticos para determinar los esfuerzos viscosos?","Los componentes de la tasa de deformación por cortante (fuera de la diagonal principal)."
"¿Cómo se define matemáticamente la vorticidad (\(\vec{\zeta}\))?","Como el rotacional del campo de velocidades (\(\vec{\zeta} = \nabla \times \vec{V}\))."
"¿Cuál es la relación entre el vector de vorticidad (\(\vec{\zeta}\)) y el vector de velocidad angular (\(\vec{\omega}\))?","\[\vec{\zeta} = 2\vec{\omega}\]"
"En un vórtice de cuerpo sólido, ¿qué ocurre con la orientación de las partículas de fluido?","Las partículas rotan sobre su propio eje a medida que se desplazan."
"¿Qué caracteriza a un vórtice de línea en términos de rotacionalidad?","El flujo es irrotacional (\(\vec{\zeta} = 0\)) en todo el campo, excepto en una singularidad en el origen."
"¿Qué analogía mecánica se utiliza para describir un vórtice de línea (flujo irrotacional)?","La analogía de la Rueda de la Fortuna, donde las partículas mantienen su orientación original mientras orbitan."
"En la ecuación del RTT, ¿qué representa el término \(\frac{d}{dt} \int_{CV} \rho b \, d\mathcal{V}\)?","La tasa de acumulación o disminución de la propiedad \(B\) dentro del volumen de control."
